index,Area,Year,Maximum Values,Median
0,Afghanistan,2019,124220.0,98292.0
1,Albania,2011,215049.0,207238.0
2,Algeria,2019,89149.0,77997.0
3,Argentina,2011,132280.0,116398.0
4,Armenia,2015,188652.0,149901.0
5,Australia,2017,133236.0,115835.0
6,Austria,2011,85609.0,68970.0
7,Azerbaijan,2019,138990.0,116009.0
8,Bahrain,2019,31667.0,30625.0
9,Belarus,2013,42857.0,41136.0
10,Belgium,2009,100000.0,95027.0
11,Bolivia (Plurinational State of),2019,70781.0,67932.0
12,Bosnia and Herzegovina,2019,90257.0,61331.0
13,Brazil,2017,230204.0,184586.0
14,Bulgaria,2015,67633.0,57750.0
15,Canada,2017,113145.0,84830.0
16,Chile,2013,153850.0,138290.0
17,China,2019,192680.0,165279.0
18,"China, Taiwan Province of",2011,351277.0,326464.0
19,"China, mainland",2019,192192.0,164716.0
20,Colombia,2019,169376.0,117712.0
21,Croatia,2018,71302.0,60276.0
22,Cuba,2019,131378.0,129412.0
23,Cyprus,2017,38546.0,33387.0
24,Czechia,2018,65056.0,47733.0
25,Ecuador,2019,66923.0,64615.0
26,Egypt,2015,225116.0,218450.0
27,Ethiopia,2009,31375.0,21350.0
28,France,2011,86905.0,76640.0
29,Georgia,2013,37804.0,36536.0
30,Germany,2018,140105.0,122509.0
31,Greece,2014,167302.0,84463.0
32,Guatemala,2014,74104.0,73976.0
33,Honduras,2010,51818.0,49444.0
34,Hungary,2018,80695.0,65419.0
35,India,2009,234750.0,212295.0
36,Iran (Islamic Republic of),2019,125380.0,115862.0
37,Iraq,2009,213990.0,193519.0
38,Israel,2010,166215.0,86276.0
39,Italy,2018,125975.0,106998.0
40,Japan,2012,112670.0,105412.0
41,Jordan,2018,202766.0,109863.0
42,Kazakhstan,2012,65182.0,57100.0
43,Kuwait,2017,144000.0,67000.0
44,Kyrgyzstan,2009,20204.0,14715.0
45,Lebanon,2016,113716.0,87620.0
46,Libya,2011,42060.0,39360.0
47,Luxembourg,2009,148150.0,117776.0
48,Madagascar,2019,53662.0,52000.0
49,Malawi,2017,75333.0,61000.0
50,Malta,2018,97857.0,23610.0
51,Mexico,2019,149086.0,130146.0
52,Montenegro,2010,171158.0,91159.0
53,Morocco,2019,108452.0,82855.0
54,Namibia,2014,45833.0,40644.0
55,Netherlands,2018,100000.0,55943.0
56,New Zealand,2014,131809.0,106016.0
57,North Macedonia,2016,143722.0,124418.0
58,Pakistan,2016,44966.0,42602.0
59,Palestine,2019,107974.0,102623.0
60,Paraguay,2014,55603.0,55449.0
61,Peru,2016,246889.0,198367.0
62,Philippines,2019,5501.0,4672.0
63,Poland,2018,53699.0,48538.5
64,Portugal,2010,52605.0,46113.0
65,Qatar,2016,50000.0,30909.0
66,Republic of Korea,2010,173881.0,145285.0
67,Republic of Moldova,2018,57551.0,47683.0
68,Romania,2018,66005.0,49923.0
69,Russian Federation,2019,96622.0,85318.0
70,Saudi Arabia,2018,264529.0,111907.0
71,Serbia,2013,94314.0,73513.0
72,Slovakia,2018,65443.0,49761.0
73,Slovenia,2018,81233.0,66382.0
74,South Africa,2013,192730.0,163209.0
75,Spain,2013,79221.0,61325.0
76,Sweden,2019,14000.0,13000.0
77,Switzerland,2018,95665.0,85223.0
78,Syrian Arab Republic,2012,78782.0,55778.0
79,Tajikistan,2019,73235.0,52273.0
80,Thailand,2013,177992.0,174143.0
81,Tunisia,2012,70891.0,65610.0
82,Turkey,2019,101125.0,90919.0
83,Turkmenistan,2018,135398.0,135294.0
84,Ukraine,2018,114897.0,88473.0
85,United Arab Emirates,2018,27500.0,25000.0
86,United Kingdom of Great Britain and Northern Ireland,2010,13418.0,11419.0
87,United Republic of Tanzania,2013,57462.0,42028.0
88,United States of America,2013,185714.0,170904.0
89,Uruguay,2012,176627.0,140347.0
90,Uzbekistan,2018,157537.0,121853.0
91,Venezuela (Bolivarian Republic of),2011,176709.0,161231.0
92,Viet Nam,2014,283539.0,215685.0
93,Yemen,2010,121860.0,110919.0
94,Zimbabwe,2019,84010.0,82051.0
